,country,Gold,Silver,Bronze,Total,TotalWeighted,rank_Total_min,rank_Total_weighted
0,argentina,0,1,2,3,4,60.0,66.0
1,armenia,0,2,2,4,6,47.0,60.0
2,australia,17,7,22,46,87,6.0,6.0
3,austria,1,1,5,7,10,33.0,39.0
4,azerbaijan,0,3,4,7,10,33.0,39.0
5,bahamas,2,0,0,2,6,66.0,60.0
6,bahrain,0,1,0,1,2,77.0,79.0
7,belarus,1,3,3,7,12,33.0,35.0
8,belgium,3,1,3,7,14,33.0,33.0
9,bermuda,1,0,0,1,3,77.0,73.0
10,botswana,0,0,1,1,1,77.0,86.0
11,brazil,7,6,8,21,41,12.0,12.0
12,bulgaria,3,1,2,6,13,39.0,34.0
13,burkina-faso,0,0,1,1,1,77.0,86.0
14,canada,7,6,11,24,44,11.0,11.0
15,china,38,32,18,88,196,2.0,2.0
16,chinese-taipei,2,4,6,12,20,22.0,25.0
17,colombia,0,4,1,5,9,42.0,42.0
18,cote-d-ivoire,0,0,1,1,1,77.0,86.0
19,croatia,3,3,2,8,17,29.0,29.0
20,cuba,7,3,5,15,32,18.0,16.0
21,czech-republic,4,4,3,11,23,23.0,20.0
22,denmark,3,4,4,11,21,23.0,23.0
23,dominican-rep-,0,3,2,5,8,42.0,48.0
24,ecuador,2,1,0,3,8,60.0,48.0
25,egypt,1,1,4,6,9,39.0,42.0
26,estonia,1,0,1,2,4,66.0,66.0
27,ethiopia,1,1,2,4,7,47.0,56.0
28,fiji,1,0,1,2,4,66.0,66.0
29,finland,0,0,2,2,2,66.0,79.0
30,france,10,12,11,33,65,10.0,10.0
31,georgia,2,5,1,8,17,29.0,29.0
32,germany,10,11,16,37,68,8.0,8.0
33,ghana,0,0,1,1,1,77.0,86.0
34,great-britain,22,21,22,65,130,4.0,4.0
35,greece,2,1,1,4,9,47.0,42.0
36,grenada,0,0,1,1,1,77.0,86.0
37,hong-kong-china,1,2,3,6,10,39.0,39.0
38,hungary,6,7,7,20,39,13.0,14.0
39,india,1,2,4,7,11,33.0,37.0
40,indonesia,1,1,3,5,8,42.0,48.0
41,ireland,2,0,2,4,8,47.0,48.0
42,islamic-rep-of-iran,3,2,2,7,15,33.0,32.0
43,israel,2,0,2,4,8,47.0,48.0
44,italy,10,10,20,40,70,7.0,7.0
45,jamaica,4,1,4,9,18,26.0,27.0
46,japan,27,14,17,58,126,5.0,5.0
47,jordan,0,1,1,2,3,66.0,73.0
48,kazakhstan,0,0,8,8,8,29.0,48.0
49,kenya,4,4,2,10,22,25.0,22.0
50,kosovo,2,0,0,2,6,66.0,60.0
51,kuwait,0,0,1,1,1,77.0,86.0
52,kyrgyzstan,0,2,1,3,5,60.0,63.0
53,latvia,1,0,1,2,4,66.0,66.0
54,lithuania,0,1,0,1,2,77.0,79.0
55,malaysia,0,1,1,2,3,66.0,73.0
56,mexico,0,0,4,4,4,47.0,66.0
57,mongolia,0,1,3,4,5,47.0,63.0
58,morocco,1,0,0,1,3,77.0,73.0
59,namibia,0,1,0,1,2,77.0,79.0
60,netherlands,10,12,14,36,68,9.0,8.0
61,new-zealand,7,6,7,20,40,13.0,13.0
62,nigeria,0,1,1,2,3,66.0,73.0
63,north-macedonia,0,1,0,1,2,77.0,79.0
64,norway,4,2,2,8,18,29.0,27.0
65,philippines,1,2,1,4,8,47.0,48.0
66,poland,4,5,5,14,27,19.0,18.0
67,portugal,1,1,2,4,7,47.0,56.0
68,puerto-rico,1,0,0,1,3,77.0,73.0
69,qatar,2,0,1,3,7,60.0,56.0
70,rep-of-moldova,0,0,1,1,1,77.0,86.0
71,republic-of-korea,6,4,10,20,36,13.0,15.0
72,roc,20,28,23,71,139,3.0,3.0
73,romania,1,3,0,4,9,47.0,42.0
74,san-marino,0,1,2,3,4,60.0,66.0
75,saudi-arabia,0,1,0,1,2,77.0,79.0
76,serbia,3,1,5,9,16,26.0,31.0
77,slovakia,1,2,1,4,8,47.0,48.0
78,slovenia,3,1,1,5,12,42.0,35.0
79,south-africa,1,2,0,3,7,60.0,56.0
80,spain,3,8,6,17,31,17.0,17.0
81,sweden,3,6,0,9,21,26.0,23.0
82,switzerland,3,4,6,13,23,20.0,20.0
83,syrian-arab-rep-,0,0,1,1,1,77.0,86.0
84,thailand,1,0,1,2,4,66.0,66.0
85,tunisia,1,1,0,2,5,66.0,63.0
86,turkey,2,2,9,13,19,20.0,26.0
87,turkmenistan,0,1,0,1,2,77.0,79.0
88,uganda,2,1,1,4,9,47.0,42.0
89,ukraine,1,6,12,19,27,16.0,18.0
90,united-states,39,41,33,113,232,1.0,1.0
91,uzbekistan,3,0,2,5,11,42.0,37.0
92,venezuela,1,3,0,4,9,47.0,42.0
